,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
167,20729,1,0,0,1,541126,262,538940,1924,6432.24658857,4,47,16,False,e,2FS2116
168,3458,0,0,0,0,126194,0,9491,116703,13461.7968263,0,42,16,False,c,2FS2116
169,9348,1,0,0,1,358100,0,337670,20430,7817.98940514,3,43,16,False,c,2FS2116
170,7439,1,0,0,1,-1466436297925,3810,109888,-1466436411623,4536.06377871,0,44,16,False,s,2FS2116
171,20314,3,0,3,0,529421,0,528997,424,10250.9357883,2,45,16,False,s,2FS2116
172,2102,1,0,0,1,33584,0,30248,3336,3233.14679148,0,48,16,False,n,2FS2116
173,10156,1,0,1,0,467667,0,466474,1193,7022.71388614,1,49,16,False,n,2FS2116
174,2477,2,0,0,2,72360,0,6616,65744,2878.78441042,0,143,19,False,e,18MDM19
175,9578,2,0,0,2,423964,0,363702,60262,5977.04328538,2,144,19,False,e,18MDM19
176,1269,4,0,2,2,65977,0,5666,60311,4557.2572458,0,145,19,False,c,18MDM19
177,8706,3,0,1,2,483912,0,16391,467521,9675.02592986,3,146,19,False,c,18MDM19
178,7074,1,1,0,0,-1474283500487,-1474283596807,95174,1146,5383.01613034,0,139,19,False,s,18MDM19
179,26126,2,0,1,1,429863,3776,422398,3689,11465.5054354,4,140,19,False,s,18MDM19
180,2482,1,0,0,1,61013,0,51753,9260,3077.57199395,0,141,19,False,n,18MDM19
181,10136,2,0,1,1,347439,0,344438,3001,5729.5843212,1,142,19,False,n,18MDM19
182,47861,0,0,0,0,161342,0,1025,160317,3613.69773435,0,182,18,False,e,18F
183,233146,0,0,0,0,533334,0,75793,457541,6525.96912461,2,183,18,False,e,18F
184,8969,0,0,0,0,233990,0,72016,161974,6666.26580274,0,184,18,False,c,18F
185,29398,0,0,0,0,691973,0,112504,579469,22117.916181,1,185,18,False,c,18F
186,3367,1,1,0,0,254157,6003,246914,1240,6936.74312753,0,180,18,False,s,18F
187,26516,5,1,1,3,653189,15651,625098,12440,29704.0644342,4,181,18,False,s,18F
188,2543,4,0,1,3,314535,0,270792,43743,4769.73894934,0,178,18,False,n,18F
189,9845,2,0,1,1,654882,0,532282,122600,10628.5279821,3,179,18,False,n,18F
